"Country","Year","Life expectancy at birth","Access to Electricity(%)","Electric power consumption(kWh/Capita)","Rural Population(%)","Food Production Index","GDP/Capita($)","Immunization(DPT %)","Immunization(Measles %)","GDP Deflator","Road Accident Mortality(per 100,000 people)","Population Density","Total greenhouse gas emissions (kt of CO2 equivalent)","Unemployed Labour(%)","Literacy Rate(%)","","",""
"UK","2000","77.74146","100","6114.529","21.349","95.63","28156.27","91","88","1.829761","6.9","243.4279","684830","5.56","99","","",""
"UK","2001","77.99268","100","6141.983","21.249","88.4","27717.63","91","85","1.11503","7","244.3669","695590","4.7","99","","",""
"UK","2002","78.1439","100","6142.75","20.953","94.06","29982.62","91","85","2.10576","7.1","245.4035","677780","5.04","99","","",""
"UK","2003","78.44634","100","6174.551","20.661","92","34383.95","91","82","2.368463","7.2","246.5489","685430","4.81","99","","",""
"UK","2004","78.74634","100","6138.754","20.371","92.43","40208.86","92","81","2.533337","6.9","247.9556","680780","4.59","99","","",""
"UK","2005","79.04878","100","6270.984","20.085","93.13","41932.88","91","82","2.701194","6.6","249.664","674860","4.75","99","","",""
"UK","2006","79.24878","100","6200.554","19.801","92.62","44472.57","92","85","2.806959","6.6","251.5059","671960","5.35","99","","",""
"UK","2007","79.44878","100","6102.397","19.521","90.81","50444.93","92","86","2.700118","5.8","253.4719","656480","5.26","99","","",""
"UK","2008","79.6","100","6015.727","19.243","94.77","47267.01","92","86","3.079839","5.2","255.4747","636520","5.62","99","","",""
"UK","2009","80.05122","100","5643.129","18.969","92.57","38736.9","93","86","1.61662","4.3","257.4144","581690","7.54","99","","",""
"UK","2010","80.40244","100","5700.856","18.698","94.4","39536.77","94","89","1.606768","3.7","259.4402","594560","7.79","99","","",""
"UK","2011","80.95122","100","5471.933","18.43","96.68","42047.61","95","90","2.067351","3.4","261.4757","551940","8.04","99","","",""
"UK","2012","80.90488","100","5449.259","18.163","90.86","42449.11","95","92","1.655836","3","263.3002","573410","7.89","99","","",""
"UK","2013","81.00488","100","5409.626","17.898","92.82","43401.31","95","93","1.780524","2.9","265.0695","554670","7.52","99","","",""
"UK","2014","81.30488","100","5130.39","17.635","100.63","47452.2","95","93","1.731326","3.2","267.0289","513800","6.11","99","","",""
"USA","2000","76.63659","100","13671.05","20.943","83.17","36334.91","94","91","2.235474","15.7","30.7973","6861150","3.99","99","","",""
"USA","2001","76.83659","100","13046.61","20.766","81.79","37133.24","94","91","2.193425","15.7","31.10363","6806970","4.73","99","","",""
"USA","2002","76.93659","100","13296.18","20.591","80.59","38023.16","94","91","1.581763","16.2","31.39355","6646960","5.78","99","","",""
"USA","2003","77.03659","100","13307.49","20.417","83.28","39496.49","96","93","1.857095","16","31.66453","6706390","5.99","99","","",""
"USA","2004","77.4878","100","13388.59","20.243","88.11","41712.8","96","93","2.692212","15.8","31.95895","6787570","5.53","99","","",""
"USA","2005","77.4878","100","13704.58","20.072","85.8","44114.75","96","92","3.114942","15.7","32.25488","6801820","5.08","99","","",""
"USA","2006","77.6878","100","13583.27","19.901","84.62","46298.73","96","92","3.026205","15.6","32.5674","6707430","4.62","99","","",""
"USA","2007","77.9878","100","13657.45","19.731","89.8","47975.97","96","92","2.686279","14.9","32.87861","6797860","4.62","99","","",""
"USA","2008","78.03902","100","13663.43","19.562","91.4","48382.56","96","92","1.945132","13.4","33.24369","6619980","5.78","99","","",""
"USA","2009","78.39024","100","12913.71","19.394","93.23","47099.98","95","90","0.76235","12.1","33.5364","6194450","9.25","99","","",""
"USA","2010","78.54146","100","13394.9","19.228","92.42","48466.66","95","92","1.165251","11.7","33.81578","6442580","9.63","99","","",""
"USA","2011","78.64146","100","13245.88","19.056","91.56","49882.56","96","92","2.088904","11.6","34.06244","6214430","8.95","99","","",""
"USA","2012","78.74146","100","12964.19","18.881","91.08","51602.93","94","91","1.917849","11.9","34.31324","5968740","8.07","99","","",""
"USA","2013","78.74146","100","13004.02","18.701","96.01","53106.54","94","92","1.754916","11.4","34.55181","6108670","7.38","99","","",""
"USA","2014","78.84146","100","12993.97","18.517","98.34","55049.99","95","92","1.849827","11.3","34.80613","6129040","6.17","99","","",""
"Australia","2000","79.23415","100","10193.91","15.765","86.95","21679.25","90","91","2.579702","9.9","2.493134","608210","6.28","99","","",""
"Australia","2001","79.63415","100","10636.38","15.9","88.04","19490.86","92","92","4.620835","9.3","2.526978","634100","6.74","99","","",""
"Australia","2002","79.93659","100","10813.12","15.778","90.96","20082.48","92","94","2.860367","9.1","2.55801","627080","6.37","99","","",""
"Australia","2003","80.23902","100","10434.87","15.657","74.08","23447.03","93","94","3.113581","8.5","2.589771","546710","5.93","99","","",""
"Australia","2004","80.49024","100","10554.82","15.537","91.73","30430.68","92","94","3.31114","8.2","2.619971","605380","5.4","99","","",""
"Australia","2005","80.84146","100","10458.45","15.418","87.8","33999.24","92","94","3.797084","8.3","2.654778","568380","5.03","99","","",""
"Australia","2006","81.04146","100","10490.48","15.3","93.2","36044.92","92","94","5.092354","8","2.694232","611700","4.78","99","","",""
"Australia","2007","81.29268","100","10972.89","15.178","76.76","40960.05","92","94","5.011711","7.9","2.711115","614990","4.38","99","","",""
"Australia","2008","81.39512","100","10749.11","15.057","82.45","49601.66","92","94","4.525537","7.1","2.765995","587260","4.23","99","","",""
"Australia","2009","81.5439","100","10791.59","14.937","87","42772.36","92","94","5.001804","7.1","2.823594","601070","5.56","99","","",""
"Australia","2010","81.69512","100","10726.93","14.818","87.41","52022.13","92","94","1.167282","6.5","2.867859","571220","5.21","99","","",""
"Australia","2011","81.89512","100","10627.29","14.7","91.14","62517.83","92","94","6.25276","5.9","2.907986","673130","5.08","99","","",""
"Australia","2012","82.04634","100","10407.74","14.598","96.4","68012.15","92","94","1.856527","5.8","2.9592","670930","5.22","99","","",""
"Australia","2013","82.14878","100","10220.89","14.498","97.17","68150.11","91","94","-0.1242","5.3","3.010574","581890","5.66","99","","",""
"Australia","2014","82.3","100","10071.4","14.398","101.14","62510.79","92","94","1.479573","5.4","3.055815","593500","6.08","99","","",""
"Japan","2000","81.0761","100","8299.41","21.351","103.31","39169.36","85","96","-1.33626","12.5","347.9918","1274300","4.7","99","","",""
"Japan","2001","81.41707","100","8162.015","20.01","101.16","34406.18","95","98","-1.08488","12.1","348.8313","1251440","5","99","","",""
"Japan","2002","81.56341","100","8266.099","18.353","102.2","32820.79","96","98","-1.39098","11.3","349.6433","1283110","5.4","99","","",""
"Japan","2003","81.76","100","8164.934","16.804","98.77","35387.04","97","98","-1.6077","10.6","350.3923","1290880","5.3","99","","",""
"Japan","2004","82.03024","100","8393.258","15.36","99.44","38298.98","99","98","-1.12477","10.1","350.5103","1282760","4.7","99","","",""
"Japan","2005","81.92512","100","8539.011","14.022","100.39","37812.9","98","98","-1.19402","9.4","350.5432","1283820","4.4","99","","",""
"Japan","2006","82.32195","100","8542.478","12.882","98.55","35991.55","98","97","-0.86202","8.6","350.7654","1261900","4.1","99","","",""
"Japan","2007","82.50707","100","8710.026","11.854","100.27","35779.02","98","96","-0.70524","6.2","351.1687","1297980","3.9","99","","",""
"Japan","2008","82.58756","100","8270.008","10.897","100.69","39876.3","98","95","-0.91153","5.5","351.3388","1231180","4","99","","",""
"Japan","2009","82.93146","100","8020.274","10.011","99.27","41309","97","94","-0.56956","5.4","351.2949","1171570","5.1","99","","",""
"Japan","2010","82.84268","100","8594.909","9.188","96.84","44968.16","97","94","-1.88074","5.3","351.358","1228240","5.1","99","","",""
"Japan","2011","82.59122","100","8099.599","8.931","95.52","48760.08","97","94","-1.62208","5","350.7078","1284770","4.52","99","","",""
"Japan","2012","83.0961","100","7998.347","8.852","97.1","49145.28","97","96","-0.75609","4.8","350.1481","1327040","4.3","99","","",""
"Japan","2013","83.33195","100","7988.583","8.774","101.33","40898.65","96","95","-0.35438","4.5","349.6433","1338630","4","99","","",""
"Japan","2014","83.5878","100","7819.715","8.696","101.05","38475.4","96","98","1.686295","4.2","349.1797","1300990","3.6","99","","",""
"India","2000","62.505","59.34105","393.6462","72.333","64.56","443.3142","58","56","3.64497","16.9","355.3677","1717560","5.75","60.666578","","",""
"India","2001","62.907","55.8","393.8102","72.082","66.57","451.573","59","57","3.215616","16.6","361.5645","1741320","5.73","61.01456","","",""
"India","2002","63.304","62.3","410.6448","71.756","61.53","470.9868","59","56","3.715684","16.3","367.7253","1763940","5.77","61.362542","","",""
"India","2003","63.699","64.02313","430.4832","71.428","67.7","546.7266","61","60","3.867798","15.8","373.8487","1808910","5.77","61.710524","","",""
"India","2004","64.095","64.4","451.6115","71.097","66.63","627.7742","63","64","5.725413","15.6","379.9365","1894780","5.72","62.058506","","",""
"India","2005","64.5","67.09344","468.0258","70.765","70.14","714.861","65","68","5.621903","15.9","385.9861","1969680","5.65","62.406488","","",""
"India","2006","64.918","67.9","509.2141","70.431","73.68","806.7533","65","69","8.400938","16.3","391.9986","2065570","5.52","62.75447","","",""
"India","2007","65.35","70.13076","541.7384","70.094","79.99","1028.335","64","70","6.944418","16.7","397.9596","2209240","5.41","64.064088","","",""
"India","2008","65.794","71.65108","561.2476","69.754","81.53","998.5223","70","72","9.19397","17.1","403.8322","2309340","5.36","65.373706","","",""
"India","2009","66.244","75","598.4982","69.413","79.61","1101.961","74","78","7.040365","17","409.5689","2452660","5.61","66.683324","","",""
"India","2010","66.693","76.3","640.3946","69.07","85.63","1357.564","79","82","10.52603","17.2","415.137","2564130","5.65","67.992942","","",""
"India","2011","67.13","67.6","696.8427","68.724","90.87","1458.104","82","84","8.73358","17.4","420.5207","2671200","5.65","69.30256","","",""
"India","2012","67.545","79.9","723.2369","68.366","92.97","1443.882","82","83","7.934386","17.6","425.7314","2814000","5.66","70.02684","","",""
"India","2013","67.931","80.73804","764.2011","67.997","96.99","1449.61","83","83","6.186504","17","430.7973","2875980","5.67","70.75112","","",""
"India","2014","68.286","83.58521","804.5163","67.616","99.49","1573.886","85","85","3.331757","16.1","435.7612","3048790","5.6","71.4754","","",""
"Nigeria","2000","46.267","42.93612","74.49062","65.16","67.25","567.9307","29","33","22.67374","29.2","134.2643","189750","3.83","53.9306754","","",""
"Nigeria","2001","46.51","43.76881","75.56978","64.331","67.04","590.3818","27","32","10.07648","29.6","137.6792","202020","3.82","52.7802629","","",""
"Nigeria","2002","46.835","44.59322","104.661","63.492","70.53","741.7475","25","30","21.10905","29.8","141.1949","206590","3.85","52.6013497","","",""
"Nigeria","2003","47.242","52.2","101.9252","62.644","73.57","795.3862","29","34","9.804324","28.6","144.8232","214100","3.84","54.7731781","","",""
"Nigeria","2004","47.72","46.21247","123.6325","61.788","78.45","1007.874","33","37","22.36834","27.6","148.578","217970","3.81","59.914901733333","","",""
"Nigeria","2005","48.252","47.00511","129.327","60.926","82.84","1268.383","36","41","19.85849","27","152.4699","234450","3.77","65.056625366667","","",""
"Nigeria","2006","48.812","47.78862","111.7524","60.057","88.17","1656.425","40","44","23.86438","26.4","156.5031","229740","3.69","70.198349","","",""
