Country,Year,Access to Electricity(%),Food Production Index,Population Density,Unemployed Labour(%),"Road Accident Mortality(per 100,000 people)",Electric power consumption(kWh/Capita),GDP Deflator,GDP/Capita($),Literacy Rate Adult,Immunization(Measles %),Immunization(DPT %),Life Expectancy at Birth,Total greenhouse gas emissions (kt of CO2 equivalent),Rural Population(%)
Albania,2000,100,64.01,112.7382117,16.58,14.3,1449.647413,5.643782073,1126.683318,98.71298218,95,97,73.955,8220,58.259
Albania,2001,100,65.89,111.685146,16.54,14.5,1351.230796,3.813932918,1281.659393,98.71298218,95,97,74.288,8190,57.565
Albania,2002,100,66.38,111.3507299,16.61,14.5,1578.165919,3.644149917,1425.124849,98.71298218,96,98,74.579,8820,56.499
Albania,2003,100,69.58,110.9348905,16.61,14.7,1469.264539,5.197105399,1846.118813,98.71298218,93,97,74.828,9250,55.427
Albania,2004,100,72.89,110.4722263,16.52,14.7,1797.525487,3.156943939,2373.579844,98.71298218,96,97,75.039,9310,54.349
Albania,2005,100,71.65,109.9082847,16.4,14.9,1722.07285,3.303491113,2673.787283,98.71298218,97,98,75.228,9100,53.269
Albania,2006,100,74.42,109.2170438,16.17,14.9,1218.360146,2.480665739,2972.743265,98.71298218,95,97,75.423,9000,52.185
Albania,2007,100,75.45,108.394781,15.97,14.8,1213.124369,4.389899684,3595.037163,98.71298218,97,98,75.646,9050,51.098
Albania,2008,100,77.74,107.5662044,13.06,14.5,1617.744156,4.117185731,4370.540127,95.93863678,98,99,75.912,8790,50.009
Albania,2009,100,80.52,106.8437591,13.67,14.4,1835.684072,2.422645898,4114.140114,95.93863678,97,98,76.221,8850,48.924
Albania,2010,100,85.65,106.314635,14.09,14.1,1943.343354,4.493106682,4094.350334,95.93863678,99,99,76.562,9130,47.837
Albania,2011,100,89.91,106.0290146,13.48,14.3,2205.70392,2.314785504,4437.142885,96.84529877,99,99,76.914,9630,46.753
Albania,2012,99.9,95.07,105.8540511,13.38,13.8,2118.327776,1.04242473,4247.629984,97.24697113,98,99,77.252,9240,45.67
Albania,2013,100,95.65,105.660292,15.87,13.9,2533.252829,0.288751645,4413.060861,97.24697113,99,99,77.554,9440,44.613
Albania,2014,99.95,96.85,105.4417518,18.06,13.6,2309.366503,1.549878619,4578.631994,97.24697113,98,98,77.813,9930,43.577
Arab World,2000,78.87247574,11.82635061,20.58384352,12.45970757,19.67207184,1518.760327,10.4423447,2610.386829,63.68452835,81.45253967,82.93737241,67.80059145,1380740,47.01069831
Arab World,2001,79.55913883,12.83980151,21.0276802,12.31786352,19.47745513,1581.590402,0.715797567,2472.448025,64.8777771,81.01024781,84.08292327,68.07251864,1441760,46.74855584
Arab World,2002,77.51197685,13.38516039,21.48209057,12.31953713,19.77198607,1650.068165,3.970747733,2421.824289,66.04557037,81.15829613,82.01680727,68.34024632,1498360,46.48437431
Arab World,2003,78.75741687,14.49109513,21.95250829,12.27405152,20.25717272,1720.814261,5.016239685,2627.669507,68.68773651,81.39961776,82.3856232,68.61050561,1535670,46.19883276
Arab World,2004,79.09690383,14.363258,22.44455438,11.26625862,20.147049,1767.785668,11.02378422,3055.365525,69.63665771,82.04455949,83.30143295,68.88618776,1609430,45.89441768
Arab World,2005,79.9916919,14.8206016,22.96237245,11.10038186,20.20724331,1842.769081,14.1601135,3670.415464,69.21839905,82.28182046,84.14356843,69.16468296,1721520,45.52969369
