Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,91.660398,100,100,100,100,100,100,100,100,100,93.35629215,100,100,100,100
Africa Eastern and Southern,20.08600661,23.10317848,24.22343015,25.02318413,26.17633577,23.62149844,27.29943305,28.73795234,28.8137354,27.48306125,28.23337289,28.38183599,32.22402744,32.0464781,31.3235788
Afghanistan,,,,,,22.29526901,28.09996223,33.9016037,42.4,45.52068329,42.7,43.22201891,69.1,68.98294067,89.5
Africa Western and Central,34.65801135,35.6643106,36.40355023,40.6739752,37.7579127,38.00790869,39.86070626,40.74423219,41.68669872,41.86571258,41.73088116,45.90129863,44.13035389,47.01816265,47.74549899
Angola,,20,26.38386917,27.4656353,28.53676033,29.59622383,30.64655495,37.5,38.49,33.80418396,34.87972641,34.6,37.10102463,38.24899292,32
Albania,100,100,100,100,100,100,100,100,100,100,100,100,99.9,100,99.95
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Arab World,78.87247574,79.55913883,77.51197685,78.75741687,79.09690383,79.9916919,84.2563358,82.29067275,84.65056557,84.09216888,86.06507159,86.33862811,86.09902247,88.1011389,87.20162878
United Arab Emirates,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Argentina,95.44536591,95.51106347,96.04728699,96.33463287,96.61134338,96.87638855,97.13230133,97.38516998,97.64122009,97.90668488,98.82,99.0802002,99.22885895,99.35622406,100
Armenia,98.9,100,98,99.22579956,99.24093628,99.8,99.23873901,99.23002625,99.22450256,99.22839355,99.8,99.60435486,99.61703491,99.42,99.71
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,97.45578003,97.60110474,100,97.86569977,97.98262787,92.2,100,100,100,98.47905731,98.60040283,94.55201403,100,100,100
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,98.90822245,98.62342072,100,98.97785187,99.13969421,99.28987885,99.5,99.56891632,99.7101059,99.86070251,99.94705963,99.9,100,100,100
Burundi,2.439689159,2.801317215,3.154657125,3.498532534,3.831767321,3.207317073,2.66,4.775167942,4.8,5.40973711,5.3,6.106936455,6.5,6.9,7
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Benin,21.5398941,21.9,23.4730835,24.42607117,25.36841774,26.29910088,27.9,28.13915253,29.0608387,29.99194527,34.2,36.9,38.4,34.65625,34.1
Burkina Faso,9.071893692,9.544128418,10.00807476,11.4,10.90639877,11.33857822,11.76162434,12.18161964,12.60480118,12.63,13.1,14.89940453,15.16293812,15.40517426,19.2
Bangladesh,32,35.109272,37.88195801,40.64517975,40.6,44.23,50.52510246,46.5,54.33111954,57.07246017,55.26,59.6,65.41366577,61.5,62.4
Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahrain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Bahamas, The",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bosnia and Herzegovina,100,99.4,98.5,100,100,100,99.38727699,99.7,100,100,100,99.70578055,100,99.5,100
Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,79,80.2023468,81.06098175,81.91015625,82.74869537,83.57556152,90.98853086,85.20799255,86.02586365,86.85315704,89.91722437,91.68173599,90.98912048,91.16732788,91.37887573
Bermuda,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bolivia,69.963045,69.258539,63.996855,72.3,76.04425049,68.288209,76.211281,80.156567,84.674991,86.765597,88.31281281,88.335943,90.387375,89.505686,90.038729
Brazil,94.36400604,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,99.35217285,99.328691,99.519494,99.575151,99.650247
Barbados,100,100,100,100,99.99882507,99.99047852,100,100,100,100,100,100,100,100,100
Brunei Darussalam,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bhutan,31.15,40.09151077,44.04301453,41.1,51.91645432,59.80811164,59.74679565,71.8,67.56508636,71.48524475,73.28291087,81.68799591,91.5,87.37114716,91.39948273
Botswana,27.27221298,24.8,31.68865013,33.88325882,36.06723022,38.23953629,40.40270996,42.56283188,44.5,43.36,51.78107071,53.24,55.87431335,57.89068604,59.94039536
Central African Republic,6,5.761561871,6.226599216,6.682172775,7.127105236,7.560374737,7.805169325,8.40559864,7.48,9.263563156,9.8,10.3107233,10.89428234,11.45654297,12.05214119
Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Central Europe and the Baltics,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Channel Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Chile,97.938687,97.13110352,97.33703613,98.782325,97.71933746,97.89350891,99.368108,98.22052002,98.38568878,99.593662,99.64228821,99.588193,100,99.6,100
China,96.93087006,97.21321869,97.4872818,97.75187683,98.00583649,98.2481308,98.48129272,98.71140289,98.94470215,99.18741608,99.7,99.85722351,99.96487427,99.99700928,100
Cote d'Ivoire,48.67458344,49.66616821,51.4,51.62330627,52.58650208,58.9,60.17105263,55.41978073,60.3,57.31427383,58.28188705,55.8,55.8,61.32735825,61.9
Cameroon,41,46.2,44.06614304,45.16857147,47.1,47.34048462,49,48.2,50.55054855,51.63109589,52.72730255,53.7,54.98992157,56.15855408,56.8
"Congo, Dem. Rep.",6.7,7.160378456,7.820706367,8.471570015,9.111793518,6,10.35978127,15.2,11.59572029,12.22470379,12.86934471,13.53587914,15.4,14.94590092,13.5
"Congo, Rep.",,,,,,33.8,34.91806793,35.86069107,36.80649567,37.1,39.96152115,40.80084991,41.6,42.42240524,43.255867
Colombia,95.2,98.47,94.93788147,95.18396759,95.41941833,96.8,95.85785675,96.06945801,96.806763,96.057229,96.788995,96.6936,97.032176,97.779418,97.790938
Comoros,39.74314117,42.05736542,44.8,46.65977859,48.94561005,51.21978378,53.48482132,55.7468071,58.01197815,60.2865715,70.18231201,69.60940552,69.3,69.59020996,71.97298431
Cabo Verde,,,58.6,63.26335907,65.22930145,67,69.12872314,71.07081604,73.01609802,74.97080231,81.1,79.46784973,80.95207977,82.99486542,85.05774689
Costa Rica,96.94,98.24978,98.509188,98.695902,98.954779,99.053051,99.147523,99.217998,99.263937,99.409804,98.995734,99.232348,99.503298,99.563517,99.359291
Caribbean small states,86.7479205,89.39385368,89.24681447,89.38121107,89.88654647,90.3162375,90.79527856,91.74867885,92.88584382,92.20245892,93.39830918,93.37721797,94.39591746,94.88178763,94.80531373
Cuba,97,96.21989441,95.5,96.55662537,96.70960999,96.85093689,96.98313141,97.11227417,97.24460602,97.38635254,97.54376221,97.72306824,97.92878723,98.15862274,98.40854645
Curacao,100,100,100,100,100,100,99.99783325,99.98529816,99.9539032,99.90898132,100,100,100,100,100
Cayman Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czech Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,56.3621521,56.37202072,49.7,56.36572266,56.34719849,56.31701279,55.5,56.23532486,56.19614029,56.16637802,56.15227127,56.16006088,54.6,56.25259018,56.6339035
Dominica,80.96955109,82.31006622,87.7,84.965065,86.27719116,87.57765198,88.86898041,90.15726471,90.9,92.7496109,94.06615448,95.40458679,96.76944733,98.15841675,99.56747437
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dominican Republic,88.764932,89.791362,89.749814,89.173808,90.316567,90.141224,90.118148,96.876342,97.576197,97.85776,98.145414,97.898872,97.86705,98.385853,98.470979
Algeria,,,,,,,,,99.3,98.81757355,98.82183838,98.84799194,98.76466047,98.97725677,99.07403564
East Asia & Pacific (excluding high income),92.52939546,93.07345294,92.3103665,92.54857721,93.49369402,93.13238043,94.20662621,94.28223378,94.76007529,94.60373693,95.04764361,95.70095929,95.97143596,96.19661212,96.36319365
Early-demographic dividend,65.97408855,64.7813653,68.16721631,69.29426242,70.09155012,70.61107758,72.63652604,74.9653471,75.43365705,77.36205082,78.61938128,75.16328199,81.24617587,81.88193319,82.99355994
East Asia & Pacific,93.33774439,93.82014512,93.11681081,93.32693867,94.17039329,93.84338495,94.80459658,94.87062837,95.29854404,95.1435447,95.54155542,96.12813726,96.37029485,96.57167755,96.72053972
Europe & Central Asia (excluding high income),99.86444773,99.8759619,99.89848514,99.92889922,99.89596588,99.86924434,99.86496966,99.8854455,99.91416147,99.92588505,99.93291775,99.91861439,99.95192047,99.94616108,99.96107675
Europe & Central Asia,99.9446378,99.94953318,99.95858746,99.9711125,99.95789257,99.94727019,99.94572046,99.95410074,99.96568909,99.9704031,99.96992514,99.96340033,99.97834475,99.97571592,99.98242048
