Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,,,,,,,,,,,,,,,
Africa Eastern and Southern,780.702624,743.916044,769.0808541,774.3341662,777.6720907,780.8510523,789.4878405,796.9019357,760.5768971,723.9149031,740.4176551,740.7416057,703.9084009,698.3699142,686.7280572
Afghanistan,,,,,,,,,,,,,,,
Africa Western and Central,116.7087977,119.0511327,133.754417,123.896644,138.893764,145.3250506,144.9849866,158.4197378,154.5007324,152.7784232,165.0656209,175.1125463,185.5158142,181.1288747,186.1990097
Angola,75.26465988,82.61657065,86.01883921,95.85311396,87.53534066,109.2952187,144.7153225,133.2672578,172.3848981,189.2577043,206.4544017,207.0133514,219.2534827,280.2144821,312.2288945
Albania,1449.647413,1351.230796,1578.165919,1469.264539,1797.525487,1722.07285,1218.360146,1213.124369,1617.744156,1835.684072,1943.343354,2205.70392,2118.327776,2533.252829,2309.366503
Andorra,,,,,,,,,,,,,,,
Arab World,1518.760327,1581.590402,1650.068165,1720.814261,1767.785668,1842.769081,1943.067343,1998.315203,2065.102645,2123.652249,2301.342047,2337.7279,2377.250571,2433.627913,2508.462284
United Arab Emirates,12314.03158,12133.62796,12502.69851,12366.07038,11958.97239,12279.9202,11693.3941,11451.89878,11294.18973,10618.80665,10609.944,10287.0553,10416.01261,10724.50388,11088.34186
Argentina,2088.80763,2120.580398,2014.476878,2180.326931,2293.309488,2408.432958,2374.097592,2455.656081,2772.843291,2730.123367,2877.652653,2929.075029,3000.603523,2967.376558,3074.702071
Armenia,1297.564469,1269.222726,1236.331467,1320.437994,1440.32339,1521.50331,1639.79257,1773.161496,1669.409464,1661.303268,1726.262758,1807.034572,1892.006869,1931.258117,1961.610395
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,
Australia,10193.91218,10636.37769,10813.12273,10434.87439,10554.81582,10458.45019,10490.48454,10972.89174,10749.11055,10791.5931,10726.92818,10627.29387,10407.74031,10220.8873,10071.39898
Austria,7076.269483,7333.231953,7427.656445,7695.080037,7808.157792,7977.681597,8244.401952,8207.474739,8233.014833,7944.796096,8382.711154,8425.167753,8548.882199,8509.61158,8355.841952
Azerbaijan,2040.47909,2106.470066,1996.708252,2235.459856,2281.947872,2388.388734,2552.286214,2118.210528,2040.760435,1620.38742,1603.431374,1705.424633,2052.650965,2092.536521,2202.393918
Burundi,,,,,,,,,,,,,,,
Belgium,8247.677113,8267.187216,8311.892679,8411.900657,8576.223497,8509.997073,8683.671285,8614.679503,8521.49674,7903.955479,8393.949623,8028.798731,7988.524644,7989.671853,7709.123078
Benin,58.11289515,61.46908571,68.26219261,64.62288161,70.32255342,73.78896831,75.08920951,79.71812428,86.35245946,87.87313802,95.44252175,91.53531895,93.12121978,96.7555505,100.2251518
Burkina Faso,,,,,,,,,,,,,,,
Bangladesh,104.6077366,115.144505,122.9863866,129.3923379,165.308346,176.0773264,196.9399144,206.104875,207.526929,226.0479448,247.2633775,265.6405673,283.4660589,301.967618,320.2099233
Bulgaria,3673.606871,3859.090025,3853.819004,3997.902596,3971.822736,4165.180392,4366.912765,4523.322878,4674.503151,4483.747139,4560.414917,4863.691441,4761.912583,4639.706323,4708.927458
Bahrain,20014.74549,20130.4566,20016.59548,19775.06331,18983.04023,21325.8176,21508.24845,20592.24422,18491.08909,17459.65445,18038.23787,17912.56602,17849.25789,18693.12388,19596.9831
"Bahamas, The",,,,,,,,,,,,,,,
Bosnia and Herzegovina,2030.296632,2068.425254,2092.095285,2233.546038,2321.878203,2389.696314,2384.593281,2382.539982,2986.473237,2891.637859,3155.598279,3343.737103,3479.083887,3474.286385,3446.764688
Belarus,2996.309475,3009.402482,3000.745625,3063.056939,3174.053092,3245.372088,3365.981865,3393.908536,3481.743517,3298.703607,3563.637766,3628.45729,3697.397484,3648.32146,3679.97884
Belize,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,
Bolivia,415.8811727,416.6548177,429.9527086,437.242163,447.1254081,476.5875809,506.9475658,538.6863418,527.8015425,546.597348,596.5011832,629.0052699,654.4817304,695.9532363,742.5383997
Brazil,1897.353148,1747.939631,1806.669684,1882.264028,1956.159381,2015.799869,2072.36268,2167.606561,2229.845299,2197.125581,2374.116628,2430.80331,2501.474103,2568.829695,2619.960499
Barbados,,,,,,,,,,,,,,,
Brunei Darussalam,7545.787986,7181.571417,7373.614744,8550.927695,8596.849491,8463.156511,8431.867164,8614.091373,8589.471243,8840.797912,8810.345981,8783.627603,9240.670982,9873.545426,10290.93802
Bhutan,,,,,,,,,,,,,,,
Botswana,1155.578328,1225.313106,1274.758204,1362.441024,1480.006321,1464.639924,1494.08114,1535.091695,1542.56863,1739.958382,1561.064181,1503.419162,1756.268904,2126.492872,1815.553722
Central African Republic,,,,,,,,,,,,,,,
Canada,17037.07228,16840.19375,16960.63967,17208.52352,17264.73674,16948.27522,16508.33955,16683.13366,16377.4797,15450.73069,15269.74548,15644.54028,15336.62486,15750.81163,15588.48715
Central Europe and the Baltics,3341.726801,3430.725054,3454.635941,3588.323461,3676.626455,3739.653466,3888.525599,3984.588999,4048.765487,3840.536028,4017.412247,4096.894084,4093.459357,4075.34293,4115.630201
Switzerland,7845.634548,7992.277576,8031.432226,8195.120835,8205.829119,8305.371102,8360.576135,8163.295576,8305.923042,8021.223604,8174.408162,7928.19067,7886.094306,7807.058815,7520.166025
Channel Islands,,,,,,,,,,,,,,,
Chile,2499.291178,2628.686877,2727.867469,2897.792879,3064.444946,3095.649042,3222.41447,3339.463325,3338.289965,3296.541125,3306.953699,3583.584239,3807.50765,3879.859848,3879.67342
China,992.9433847,1076.549121,1194.856295,1379.484632,1585.838782,1782.312153,2039.01466,2325.926769,2446.369055,2612.45662,2943.589954,3298.003913,3474.988062,3773.405384,3927.0445
Cote d'Ivoire,173.9932639,182.2224577,176.6528225,174.3788344,173.3953543,171.6743996,181.7123768,187.103084,195.6587027,200.5070305,215.0203108,196.9217998,234.7870172,233.1634907,274.7302239
Cameroon,175.2616872,165.1713771,155.0349211,167.1342119,192.3598158,186.4277865,245.6694113,253.7601808,267.1317241,264.9328279,261.4885349,256.333087,247.4253636,252.2047533,275.1979743
"Congo, Dem. Rep.",96.56978765,95.5428467,89.73030179,90.20801962,88.18729489,89.45733367,101.7709237,105.2457136,101.2064072,106.7918735,104.6560836,108.0216267,112.1836565,117.0283067,108.5167041
"Congo, Rep.",95.60596274,104.7257088,115.3947467,114.766585,105.3990522,117.3133855,125.7628881,125.383018,135.3612763,144.7387466,140.1583345,147.6731132,214.6247714,213.0763092,202.8725144
Colombia,845.5975169,865.909134,873.264416,876.4128864,912.1837359,909.2160143,961.0447708,988.5793229,988.4539075,1065.607653,1094.560942,1139.659863,1170.073931,1310.664698,1312.199493
Comoros,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,
Costa Rica,1506.926791,1485.842848,1558.430031,1643.590992,1679.464616,1721.151118,1822.838339,1885.517635,1889.035996,1845.052324,1887.983299,1885.352441,1942.831521,1939.853369,1942.4906
Caribbean small states,2770.441912,2810.821028,2865.722087,3093.101001,3066.88325,3222.692979,3253.871219,3088.80393,2666.773601,2705.246458,2831.138193,2918.491922,2883.979469,2973.708709,3062.984684
Cuba,1137.921864,1157.848199,1185.124839,1193.40807,1175.339227,1155.077091,1227.218208,1302.448459,1323.398868,1334.763138,1303.154964,1332.512094,1379.216979,1435.557838,1450.882819
Curacao,7291.199761,7222.174867,7282.999884,7521.02019,7571.241207,7613.070072,7243.041936,7323.540845,7149.712092,7423.399372,7471.268233,7379.119677,5062.858345,4934.274681,4797.670436
Cayman Islands,,,,,,,,,,,,,,,
Cyprus,3373.306986,3455.26381,3703.294274,3918.225536,3946.912639,4099.616896,4238.131129,4377.141095,4554.498654,4577.04248,4585.585156,4239.7254,4035.078755,3587.832841,3624.933502
Czech Republic,5703.816739,5892.172595,5894.233119,6074.849142,6230.398228,6357.421095,6528.53015,6518.217413,6489.126257,6139.35206,6348.424398,6298.727678,6304.571923,6284.790806,6258.891037
Germany,6635.421406,6762.653396,6900.780527,7009.726492,7108.962524,7138.221485,7212.437448,7229.089913,7187.764009,6817.158398,7264.322591,7281.272174,7270.152523,7217.529089,7035.482975
Djibouti,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,
Denmark,6482.488628,6490.092993,6533.752014,6602.63638,6615.569959,6659.000427,6824.745939,6668.390266,6534.12385,6219.701092,6327.506456,6165.97362,6038.552307,6039.432,5858.801536
Dominican Republic,1327.774654,1288.233118,1390.376636,1365.261832,1128.537879,1234.657197,1330.233685,1359.052972,1377.86965,1325.712644,1394.82587,1428.073703,1499.358166,1551.716691,1615.514607
Algeria,683.2948063,709.0914831,730.808966,786.4144235,804.1073343,890.6259238,862.4295937,894.2845864,947.2913284,866.3073024,1016.636782,1123.332915,1237.966109,1278.915242,1362.871884
East Asia & Pacific (excluding high income),874.2819885,939.6999946,1029.55246,1168.008014,1324.419036,1468.433064,1655.518859,1865.200124,1954.600047,2082.748902,2331.378972,2578.691705,2717.603801,2932.355947,3048.80173
Early-demographic dividend,731.2366126,738.6082542,760.3447382,795.3270158,820.8886641,853.2324421,894.6759804,928.9659283,949.0268459,963.5254539,1017.941909,1068.484877,1095.423667,1120.281666,1151.514767
East Asia & Pacific,1664.544857,1726.611051,1825.378015,1947.981576,2113.36444,2260.04056,2433.520338,2645.087857,2699.324582,2794.557279,3075.400239,3274.390066,3391.498864,3580.93915,3677.503
Europe & Central Asia (excluding high income),3358.663727,3401.917418,3423.930284,3548.112839,3648.96224,3740.080889,3926.415979,4039.982414,4111.613646,3893.44641,4104.956679,4203.988568,4270.382121,4232.753947,4260.392512
Europe & Central Asia,4946.220461,5037.670658,5083.66683,5197.602189,5304.293415,5383.534498,5499.254051,5557.635972,5588.687428,5300.392287,5533.85515,5494.302408,5525.982502,5463.687406,5376.554802
Ecuador,634.8806805,646.8617834,688.4790274,715.7988397,823.8216174,794.5268276,862.4847513,952.8170215,1077.413327,1104.950911,1137.95685,1212.026987,1277.037196,1329.367238,1376.393633
