Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,,,,,,,,,,,,,,,
Africa Eastern and Southern,10.90700095,12.09472372,12.41141485,13.65187554,13.45000896,13.96486844,14.14857736,14.02389655,14.13683545,14.45430222,13.85510002,14.82930157,0.193987058,0.207789457,0.21474167
Afghanistan,68.54,62.28,75.57,77.65,75.6,84.49,78.25,85.68,80.55,93.36,92.79,88.45,96.99,94.08,98.2
Africa Western and Central,0.119237217,0.121713415,0.126672365,0.133503304,0.138493925,0.147625532,0.154502665,0.149988586,0.164041665,0.156937776,0.173405122,0.167164995,0.181952662,0.181735043,0.195361278
Angola,33.81,38.9,44.06,47.52,51.31,55.94,56.92,64.55,68.71,85.89,90.87,99.25,81.63,111.42,97.02
Albania,64.01,65.89,66.38,69.58,72.89,71.65,74.42,75.45,77.74,80.52,85.65,89.91,95.07,95.65,96.85
Andorra,,,,,,,,,,,,,,,
Arab World,11.82635061,12.83980151,13.38516039,14.49109513,14.363258,14.8206016,15.06742402,14.80133189,14.97526272,15.23065883,14.49541237,15.49468652,1.043046329,1.001532154,1.053727753
United Arab Emirates,182.39,120.24,118.09,109.61,117.99,119.88,110.17,109.77,119.39,118.34,128.69,75.26,75.48,76.51,95.44
Argentina,69.34,69.51,69.1,71.73,73.42,83.3,82.34,90.27,91.4,76.33,88.2,92.81,86.35,94.07,95.12
Armenia,46.73,48.88,50.18,54.2,63.26,73.42,76.3,83.02,85.26,85.14,73.68,81.93,89.02,93.36,98.31
American Samoa,66.06,75.09,78.76,88.07,86.22,88.44,90.14,91.87,93.51,95.84,97.52,95.94,92.68,99.58,100.7
Antigua and Barbuda,139.43,142.53,139.2,149.01,151.67,135.24,139.78,137.96,140.73,136.29,98.8,101.21,96.09,97.8,99.78
Australia,86.95,88.04,90.96,74.08,91.73,87.8,93.2,76.76,82.45,87,87.41,91.14,96.4,97.17,101.14
Austria,95.64,97.55,96.95,94.3,99.59,95.6,95.26,97.92,103.56,101.87,95.34,102.99,95.95,96.24,102.03
Azerbaijan,53.41,59.68,63.5,66.73,67.04,74.86,76.46,78.52,82.68,88.55,86.43,91.15,95.33,98.39,94.79
Burundi,76.99,83,85.3,87.79,83.52,85.28,86.04,88.41,89.35,95.1,96.58,95.26,84.7,120.64,102.3
Belgium,98.36,94.75,97.84,95.38,98.88,93.39,91.23,93.48,90.22,92.73,95.84,96.72,91.37,95.83,101.81
Benin,54.8,55.31,64.74,62.08,65.96,66.24,58.63,60.63,73.93,76.9,79.86,84.32,90.97,98.42,102.31
Burkina Faso,52.25,65.47,65.13,75.99,67.95,76.19,77.09,71.94,88.82,83.63,95.11,87.68,99.52,103.52,102.46
Bangladesh,63.16,61.83,63.61,65.27,64.11,72.18,74.49,78.77,84.7,85.09,90.21,92.44,93.26,95.8,98.67
Bulgaria,94.02,81.37,87.49,78.4,95.46,78.61,83.17,67.74,88.86,82.98,91.68,91.79,84.64,102.27,100.27
Bahrain,46.75,41.34,39.49,37.7,34.82,35.18,41.54,42.12,41.97,47.17,43.72,58.43,81.21,103.77,98.35
"Bahamas, The",64.01,67.22,66.02,71.98,75.66,75.41,78.19,81.78,81.84,79.04,93.17,96.15,94.36,95.54,98.37
Bosnia and Herzegovina,65.57,70.12,74.13,69.12,92.65,92.51,96.62,94.96,103.03,107.16,100.03,101.42,91.81,104.98,88.85
Belarus,71.03,71.84,72.65,73.68,83.53,82.66,86.81,90.15,98.21,98.34,97.31,94.91,101.12,96.11,101.13
Belize,94.03,95.52,87.09,89.35,100.18,102.33,99.46,98.65,95.82,96.12,96.3,88.32,105.45,98.99,101.57
Bermuda,91.71,92.82,89.1,91.41,88.46,86.79,89.69,93.06,96.96,99.11,96.15,97.77,101.31,98.57,99.75
Bolivia,54.35,55.21,58.39,61.13,60.79,64.98,69.62,74,75.15,79.15,78.54,79.95,87.37,90.76,93.87
Brazil,56.62,59.44,62.88,68.08,70.54,71.32,74.86,80.09,84.94,84.23,88.83,92.38,91.16,97.61,99.13
Barbados,119.77,111.25,107.86,111.89,111.89,122.82,112.63,118.32,110,115.48,106.59,108.73,107.02,97.88,98.97
Brunei Darussalam,55.57,63.71,70.56,69.15,66.91,49.35,79.38,83.08,85.65,86.16,90.25,96.99,98.79,106.75,100.06
Bhutan,79.26,76.91,79.06,79.69,86.17,106.87,110.32,110.09,91.09,91.93,95.57,106.93,101.09,96.79,97.82
Botswana,95.15,101.47,89.9,88.73,97.83,101,99.83,101.68,107.22,113.11,124.19,128.27,126.2,114.72,100.52
Central African Republic,76.82,78.07,79.5,78.24,82.88,84.66,86.87,91.61,93,95.52,95.93,101.1,101.98,102.6,97.87
Canada,77.58,70.05,66.3,75.13,82,83.69,80.92,79.94,88.86,86.65,86.7,87.48,89.98,103.47,95.04
Central Europe and the Baltics,0.161715817,0.168823323,0.162712976,0.157840185,0.179248198,0.165100649,0.160756104,0.155668107,0.171052794,0.167753217,0.159632326,0.168678847,0.159020692,0.170497457,0.181960091
Switzerland,97.35,94.63,96.82,93.03,97.16,95.2,94.94,97.81,98.33,101.09,98.98,104.56,100.47,97.37,102.58
Channel Islands,,,,,,,,,,,,,,,
Chile,73.04,78.33,78.7,80.91,83.82,88.16,93.12,89.75,92.5,92.12,95.13,100.9,99.33,101.43,99.39
China,65.96,66.93,69.59,70.36,73.9,76.55,78.12,79.83,84.48,86.66,89.15,91.95,94.92,96.31,97.81
Cote d'Ivoire,66.31,65.06,66.41,67.16,70.05,69.83,73.93,71.1,76.69,71.88,77.07,80.26,84.71,87.6,95.55
Cameroon,45.45,46.5,47.83,49.51,51.77,59.93,64.26,68.72,72.55,78.26,83.52,86.31,91.21,94.29,95.6
"Congo, Dem. Rep.",50.8,49.9,48.94,49.24,49.47,49.71,49.94,50.28,50.7,51.24,57.71,59.57,89.23,94.24,100.85
"Congo, Rep.",60.06,61.53,62.26,64.63,68,72.56,75.81,79.15,83.93,87.12,87.75,91.46,95.65,96.39,96.65
Colombia,71.61,72.16,73.89,76.42,78.64,80.03,83.46,86,89.49,85.37,82.82,85.23,92.74,96.05,96.87
Comoros,84.35,86.59,86.37,86.78,88.18,87.94,92.59,94.28,96.17,96.3,96.57,96.94,95.32,98.66,98.46
Cabo Verde,105.1,105.63,100.28,101.57,105.2,106.46,107.35,116.45,112.63,117.2,114.95,98.85,102.33,106.93,98.27
Costa Rica,68.44,69.1,66.69,70.04,71.37,75.86,85.76,83.72,82.63,85.41,89.27,92.44,95.26,97.88,100.51
Caribbean small states,0.141563096,0.145208946,0.144726245,0.148471139,0.148414215,0.140008809,0.14390301,0.14585208,0.140222214,0.146927506,0.147291194,0.150421183,0.154070147,0.158653181,0.157179092
Cuba,112.65,111.24,114.17,115.14,119.07,96.31,82.88,91.45,93.8,95.77,86.02,90.12,93.87,97.31,97.37
Curacao,,,,,,,,,,,,,,,
Cayman Islands,94.38,95.46,95.53,95.57,93.94,96.25,96.46,97.5,98.23,98,95.74,98.53,100.44,100.45,99.69
Cyprus,138.68,137.44,143.19,137.77,141.05,126.34,118.26,115.79,112.08,107.68,107.21,111.78,105.44,99.44,97.75
Czech Republic,105.53,108.29,97.71,89.5,106.37,99.56,91.82,98.42,100.11,95.44,87.57,94.59,84.44,91.64,101.45
Germany,93.66,94.14,90.01,86.12,95.65,92.15,90.14,91.83,96.41,98.31,94.56,95.22,96.14,97.09,102.97
Djibouti,110.86,111.98,112.73,111.66,96.04,107.45,86.15,112.21,113.84,114.75,114.98,116.56,120.16,118.45,102.56
Dominica,105.17,97.32,95.69,88.35,90.74,90.1,92.75,95.1,94.9,98.26,97.69,97.21,99.91,99.02,98.82
Denmark,97.16,97.93,97.49,98.58,100.01,98.74,95.49,97.19,98,98.1,97.02,98.67,98.74,97.3,99.93
Dominican Republic,57.71,67.2,68.47,68.59,65.67,69.06,76.92,78.7,73.01,79.59,82.6,88.39,88.06,94.44,96.94
Algeria,41.85,45.04,47.79,55.58,60.7,65.05,72.12,62.13,67.63,81.14,88.39,98.01,101.92,112.08,108.8
East Asia & Pacific (excluding high income),0.13034963,0.132679201,0.138012202,0.140785678,0.147162029,0.152091752,0.155977786,0.160237449,0.168947241,0.173517991,0.177724614,0.18310733,0.189654799,0.192203324,0.194786358
Early-demographic dividend,0.244927893,0.227711063,0.255199322,0.247263059,0.257538207,0.259216343,0.27220215,0.264213417,0.274630176,0.2673861,0.260372797,0.270449664,0.285363738,0.286917652,0.297276377
East Asia & Pacific,0.132369628,0.134481024,0.139418365,0.140676832,0.147642119,0.151722673,0.15556128,0.15842581,0.166642146,0.171028123,0.174617677,0.179569631,0.18601529,0.188694843,0.191510263
Europe & Central Asia (excluding high income),0.155670818,0.161281877,0.16620726,0.166145981,0.174952177,0.177086176,0.180227041,0.17601935,0.195236968,0.195849414,0.186622218,0.212311025,0.203217616,0.222161307,0.226606274
Europe & Central Asia,0.156457759,0.15698679,0.158492333,0.155629728,0.164683518,0.161221854,0.161025694,0.159931071,0.169850906,0.170265314,0.164970439,0.17610114,0.169201158,0.178665935,0.182870576
Ecuador,72.32,79.74,78.09,82.35,85.45,83.7,86.77,90.6,94.8,99.37,104.09,104.15,100.12,96.99,100.45
"Egypt, Arab Rep.",70.09,68.67,74.33,77.44,78.93,82.71,87.49,90.88,95.12,95.11,90.1,93.26,98.1,95.81,99.48
Euro area,0.154137863,0.151480073,0.151577847,0.147756806,0.15623662,0.149801167,0.147968584,0.148146324,0.152361034,0.153314084,0.150936664,0.153561175,0.147422003,0.152240791,0.153776524
Eritrea,74.7,81.37,68.52,76.58,78.56,98.12,97.49,109.02,77.75,91.82,93.39,98.97,99.97,98.42,100.31
Spain,91.75,92.24,92.11,101.1,95.04,86.05,94.38,93.71,93.46,92.42,95.46,98.61,85.85,104.2,94.47
Estonia,77.71,75.05,71.25,69.62,72.74,78.03,74.47,84.53,81.4,83,79.04,83.75,89.2,92.45,97.32
Ethiopia,42.09,45.2,51.12,52.77,55.82,61.13,62.83,64.56,69.09,73.26,82.69,83.55,87.89,91.02,97.34
European Union,0.155822496,0.155190764,0.153877935,0.150055271,0.16086557,0.152854589,0.150617756,0.149644541,0.155865953,0.156157466,0.152873289,0.156583471,0.149729589,0.1557011,0.159087383
Fragile and conflict affected situations,6.888079854,7.477271968,7.793280801,8.433099143,8.36183076,8.633282426,8.778170516,8.62699567,8.731038484,8.873502958,8.459365193,9.031899364,0.673761497,0.649144489,0.694533359
Finland,99.39,98.44,101.79,100.05,99.31,103.08,100.21,102.51,101.17,102.31,94.19,98.28,94.58,99.35,101.03
Fiji,128.13,117.22,123.22,115.05,124.8,127.52,134.51,121.11,119.46,111.4,104.2,120.42,105.28,112.3,121.18
France,103.43,99.26,104.35,95.86,104.08,100.14,95.88,94.89,99.63,100.81,98.46,100.79,97.67,96.15,102.5
Faroe Islands,94.41,94.59,94.75,94.68,94.36,93.28,92.14,93.62,93.53,93.55,93.46,96.06,96.39,100.17,101.52
"Micronesia, Fed. Sts.",91.21,91.24,91.25,91.28,88.78,85.66,82.07,84.33,80.72,82.41,81.61,82.62,80.37,86.81,99.63
Gabon,82.53,81.2,82.74,83.41,83.16,83.62,83.75,85.84,87.57,89.17,91.3,95.55,94.29,98.6,98.67
United Kingdom,95.63,88.4,94.06,92,92.43,93.13,92.62,90.81,94.77,92.57,94.4,96.68,90.86,92.82,100.63
Georgia,129.52,134.78,127.55,151.06,129.14,156.23,100.48,114.95,99.45,92.2,88.35,96.52,91.53,112.64,100.3
Ghana,52.19,54.37,60.2,62.62,64.69,66.5,68.29,66.83,75.11,82.22,84.26,86.2,90.93,93.74,98.99
Gibraltar,,,,,,,,,,,,,,,
Guinea,56.08,56.23,59.07,61.94,64.78,67.65,69.9,72.8,76.71,76.57,83.09,87.65,90.73,94.5,96.28
"Gambia, The",98.92,106.22,72.42,89.97,108.59,95.99,100.94,78.2,104.69,121.4,133.94,90.53,108.75,99.5,89.77
Guinea-Bissau,64.64,65.6,65.73,66.3,68.85,72.85,75.55,76.2,86.79,87.97,92.66,91.08,96.78,100.62,97.88
Equatorial Guinea,70,70.63,69.08,72.48,76.31,79.39,80.09,84.25,85.95,86.75,89.92,91.77,93.15,93.33,95.15
Greece,108.2,105.58,106.71,100.87,102.14,106.7,101.84,97.79,100.86,102.54,103.02,101.09,103.32,93.68,97.23
Grenada,99.61,91.49,106.57,94.37,98.55,53.57,64.37,65.86,65.24,66.29,66.59,70.25,69.13,84.6,71.51
Greenland,92.82,90.71,109.39,103.11,110.51,107.01,105.85,111.86,110.54,109.48,101.92,96.7,92,90.15,102.59
Guatemala,45.99,51.13,56.04,57.49,59.81,61.63,63.61,69.67,70.24,75.8,75.64,77.8,83.25,88.28,96.41
Guam,113.29,113.56,115.44,115.17,117.8,117.89,120.27,124,123.57,112.11,113.35,114.57,105.93,104.81,105.15
Guyana,74.62,78.24,77.85,84.08,83.26,72.39,75.3,76.11,75.65,82.04,83.06,88.47,88.53,100.99,94.32
High income,0.153829521,0.151331903,0.150346568,0.149708686,0.159316941,0.154966888,0.15348274,0.156011945,0.160580118,0.162111869,0.160224326,0.16129802,0.159460377,0.166413225,0.169516914
