Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,20617.75047,20670.36701,20436.88713,20833.97636,22568.37499,23300.73836,24046.22638,25834.11178,27083.63486,24631.18205,23513.5277,24985.01392,24712.49326,26441.61994,26893.01151
Africa Eastern and Southern,673.9670144,592.6374147,590.7508631,759.4346854,919.0053617,1040.446461,1145.951063,1282.322935,1360.084788,1329.727043,1554.183379,1686.695763,1672.363658,1653.188436,1658.650062
Afghanistan,,,179.4265792,190.6838143,211.3820742,242.0313132,263.7336019,359.6931579,364.660679,438.0761424,543.3029674,591.1627983,641.871438,637.165464,613.8565052
Africa Western and Central,502.031662,516.9279338,605.0610071,681.8823592,826.8165382,988.8393936,1224.057612,1400.086007,1666.899847,1444.201899,1655.130138,1827.518347,1936.390962,2123.392433,2166.743309
Angola,556.8386317,527.3335285,872.4944418,982.9610078,1255.564513,1902.42215,2599.565948,3121.996085,4080.941034,3122.781599,3587.883645,4615.468219,5100.097027,5254.881126,5408.4117
Albania,1126.683318,1281.659393,1425.124849,1846.118813,2373.579844,2673.787283,2972.743265,3595.037163,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994
Andorra,21854.2468,22970.51221,25067.24006,32272.84589,37966.18725,40064.22493,42674.75897,47804.84993,48719.65877,43504.21565,40850.24814,43334.81141,38686.46126,39540.72481,41303.92937
Arab World,2610.386829,2472.448025,2421.824289,2627.669507,3055.365525,3670.415464,4249.483857,4837.810119,5993.742176,5049.165696,5797.803465,6695.858477,7265.966351,7314.827201,7247.972778
United Arab Emirates,33291.36625,31280.75586,31567.54631,33499.10278,36333.18733,39365.45964,41907.42147,41809.46216,44498.94051,32024.19778,33893.26387,39194.67224,40976.49075,42412.6395,43751.80565
Argentina,7708.099115,7208.373114,2593.404563,3349.8063,4277.721573,5109.852245,5919.012338,7245.446857,9020.873323,8225.137583,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825
Armenia,622.7409229,694.4234554,783.241215,930.1254727,1191.921006,1643.756889,2158.148074,3139.28071,4010.861381,2994.340471,3218.378299,3525.807198,3681.844691,3838.17388,3986.231624
American Samoa,,,8666.655382,8807.462812,8528.248777,8395.31877,8340.52344,8874.877928,9740.824491,11910.01323,10216.81763,10223.29836,11496.5241,11450.7242,11525.15639
Antigua and Barbuda,10872.29295,10367.31961,10401.05088,10797.95106,11446.96914,12557.54785,13995.80442,15622.69287,16044.1058,14160.562,13048.96058,12746.63347,13272.73494,12910.59063,13501.58092
Australia,21679.24784,19490.86111,20082.48327,23447.031,30430.67644,33999.24286,36044.92281,40960.05449,49601.65671,42772.35917,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117
Austria,24564.45829,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594
Azerbaijan,655.1199452,703.6838434,763.080638,883.7339715,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147
