Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,,,,,,,,,,,,,,,
Africa Eastern and Southern,57.05828081,57.85954759,59.74873551,62.14703655,65.55315386,68.40087876,69.50677125,72.02663806,72.44375754,74.78720348,74.59382787,77.97837594,77.46249914,76.08721456,77.89502619
Afghanistan,24,33,36,41,50,58,58,63,64,63,66,68,67,64,62
Africa Western and Central,43.2233421,42.55286342,43.59388128,47.36511235,50.34244739,53.95836547,57.28237015,59.36876258,64.62595935,69.66166124,66.29877539,62.55807658,61.15808137,60.75101359,60.96995119
Angola,31,42,47,46,47,47,44,48,49,50,51,52,53,54,55
Albania,97,97,98,97,97,98,97,98,99,98,99,99,99,99,98
Andorra,98,96,97,99,99,98,93,96,99,99,99,99,99,96,97
Arab World,82.93737241,84.08292327,82.01680727,82.3856232,83.30143295,84.14356843,83.47160459,84.88793617,85.83286952,86.75165948,87.72525347,87.54270167,84.43311987,86.29190945,85.7713158
United Arab Emirates,94,94,94,94,94,94,92,92,92,93,94,95,96,98,99
Argentina,83,83,93,96,98,98,91,91,93,94,94,91,91,94,94
Armenia,93,94,94,94,91,90,87,88,89,93,94,95,95,95,93
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,95,97,98,99,97,99,99,99,99,99,98,99,98,99,99
Australia,90,92,92,93,92,92,92,92,92,92,92,92,92,91,92
Austria,81,84,83,84,83,86,83,85,83,83,86,89,92,95,98
Azerbaijan,76,77,76,77,77,75,78,79,81,81,81,87,89,93,94
Burundi,80,81,81,82,83,87,92,99,92,94,96,96,96,96,95
Belgium,95,95,95,95,95,97,98,98,99,98,98,98,99,99,99
Benin,78,76,75,73,72,70,74,82,75,79,76,75,80,77,74
Burkina Faso,45,62,69,79,79,82,86,89,93,92,91,91,90,88,91
Bangladesh,82,85,83,87,99,93,94,94,96,97,94,96,94,96,97
Bulgaria,93,94,93,96,95,96,95,95,95,94,94,95,95,95,88
Bahrain,97,99,98,97,98,98,98,97,97,98,99,99,99,99,98
"Bahamas, The",99,99,94,92,93,93,95,95,93,96,99,98,98,97,96
Bosnia and Herzegovina,85,91,80,87,84,93,87,95,91,90,89,88,92,89,86
Belarus,99,99,99,50,99,99,99,95,97,96,98,98,98,98,97
Belize,91,96,89,96,97,96,98,96,94,97,96,95,98,95,95
Bermuda,,,,,,,,,,,,,,,
Bolivia,75,71,77,88,84,85,83,84,88,93,91,95,93,87,85
Brazil,98,98,99,99,99,99,99,99,99,99,99,99,95,97,93
Barbados,93,84,87,89,93,92,84,93,85,93,86,91,87,91,94
