Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,,,,,,,,,,,,,,,
Africa Eastern and Southern,57.705111,58.05712926,60.08496813,61.71090403,63.54898006,63.6531113,66.73406855,70.92079346,70.8374789,74.49445012,77.15289923,77.37453461,77.67458017,76.37686119,75.87915192
Afghanistan,27,37,35,39,48,50,53,55,59,60,62,64,59,57,60
Africa Western and Central,44.5246362,44.45325631,44.68735325,48.53228209,50.96436504,55.16059538,57.38505019,56.9116612,62.2441048,68.39564461,65.4861737,61.77131207,60.51876385,59.87580343,59.14534468
Angola,32,60,59,44,43,21,21,58,48,46,62,57,65,59,56
Albania,95,95,96,93,96,97,95,97,98,97,99,99,98,99,98
Andorra,97,97,98,96,98,94,91,94,98,98,99,99,98,95,96
Arab World,81.45253967,81.01024781,81.15829613,81.39961776,82.04455949,82.28182046,81.86121783,83.34477709,83.16618148,85.5326782,87.05091898,87.04269685,84.40056766,85.65699275,84.25916643
United Arab Emirates,94,94,94,94,94,92,92,92,92,93,94,95,96,98,99
Argentina,91,89,95,97,99,98,97,94,96,96,95,95,94,94,95
Armenia,92,93,91,94,92,94,92,92,94,96,97,97,97,97,97
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,95,97,99,99,97,99,99,99,99,99,98,99,98,96,93
Australia,91,92,94,94,94,94,94,94,94,94,94,94,94,94,94
Austria,75,79,78,79,74,75,80,79,83,76,80,84,88,92,96
Azerbaijan,67,68,66,67,67,67,69,75,79,85,89,92,94,98,98
Burundi,72,73,75,76,78,87,92,88,84,91,92,93,93,98,94
Belgium,82,82,82,82,82,88,92,92,93,95,95,95,96,96,96
Benin,70,68,66,65,63,61,66,70,66,71,68,70,74,68,65
Burkina Faso,48,63,64,76,78,84,88,94,94,94,92,89,87,82,88
Bangladesh,74,77,75,76,81,88,83,89,92,93,88,93,88,91,94
Bulgaria,89,90,92,96,95,96,96,96,96,96,97,95,94,95,93
Bahrain,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bahamas, The",93,94,94,90,89,85,88,96,90,98,94,90,91,92,92
Bosnia and Herzegovina,80,92,89,84,88,90,85,96,84,93,91,89,94,92,89
