Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,1.048271456,5.62905761,4.527475306,2.098111468,2.170963513,3.332794823,2.945294623,5.949806916,5.072878451,1.727073333,-0.677054173,3.107300649,0.789086084,3.286685576,2.003480469
Africa Eastern and Southern,11.11730588,8.312825089,8.151950541,8.112711761,9.839590573,7.40752901,9.343887793,8.201428558,13.10712552,7.504520796,6.351038347,9.430270472,7.123843367,5.310514701,5.435781984
Afghanistan,,,,11.65523821,11.27143207,10.91277355,7.199751289,22.5277562,2.096288749,-2.163404428,3.814630317,16.59334673,7.301756471,4.822785479,0.566944541
Africa Western and Central,5.28980486,4.3199575,1.882577942,1.410573723,5.681951339,6.688933944,4.64332214,4.761878299,9.576757409,1.614920339,5.515377075,8.789841293,4.730094835,1.573135368,0.280788088
Angola,418.0189915,106.3521255,196.9841052,93.92685444,33.44017865,42.3755606,17.11809761,4.30841553,19.3699206,-16.76108205,32.26344232,31.77154919,7.255670453,2.839789071,3.560820798
Albania,5.643782073,3.813932918,3.644149917,5.197105399,3.156943939,3.303491113,2.480665739,4.389899684,4.117185731,2.422645898,4.493106682,2.314785504,1.04242473,0.288751645,1.549878619
Andorra,28.7415529,3.080535179,3.23953177,3.177484216,3.042423998,3.39610213,3.457184087,3.211227341,2.27433832,0.132136132,0.374313758,0.196764152,0.174556906,0.4484922,-0.084019317
Arab World,10.4423447,0.715797567,3.970747733,5.016239685,11.02378422,14.1601135,9.418743551,8.349756142,17.00835541,-8.70527002,12.49017594,15.52937335,4.606815226,1.307292036,0.377809577
United Arab Emirates,11.4595358,-2.349307672,3.770839549,4.072406796,8.501422059,16.52630693,11.96214928,12.53396067,18.53335308,-15.18297988,12.49017594,13.16538942,2.237634058,-0.867150016,-0.905520847
Argentina,1.037287101,-1.095767718,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163
Armenia,-1.373675998,4.027969482,2.357399019,4.598515728,6.278594108,3.208756666,4.618012508,4.277875539,5.989562361,2.497253079,7.768715481,4.281549998,5.345804418,3.366824642,2.30918243
American Samoa,,,,1.365052937,-3.259074622,-1.365583433,2.813675214,3.160612207,11.0593352,25.77639752,-15.36488955,-0.523560209,17.36842105,2.243589744,-0.962160294
Antigua and Barbuda,1.553300159,1.482588328,0.70180233,-0.864881446,1.539517125,4.461642573,0.407675597,3.734130166,4.380667355,1.836936307,1.47335735,1.015415194,2.035711982,-0.94654445,1.9115038
Australia,2.579702071,4.620834583,2.860367419,3.113580689,3.31114028,3.797083703,5.092353923,5.011711467,4.525536696,5.001803549,1.167281617,6.252760381,1.85652681,-0.124199304,1.479573108
Austria,1.364040914,1.947105394,1.145595667,1.307552579,1.73971885,2.537794158,1.892161069,2.221175867,1.956322281,1.889264178,0.873054962,1.833410245,2.054235685,1.62388807,2.175707237
Azerbaijan,12.49277345,2.515009979,4.214386164,6.961465116,9.251965578,14.72349655,11.32918854,20.58248282,27.97103631,-18.898911,13.82722014,24.60695003,2.844982577,0.413164057,-1.330204423
Burundi,38.9448932,13.71640679,1.027858574,11.94574864,13.14615933,18.84158948,2.845666334,8.27337152,24.21579774,10.45879485,8.561551747,8.364247586,14.29243968,7.955459176,5.30485357
Belgium,2.014617387,1.982802721,1.640007795,1.850088683,1.914990948,2.083074213,2.264707144,1.931721117,1.908845425,0.533179398,1.89207786,1.807299468,1.961119341,1.271258155,0.982645555
Benin,4.341055664,1.970285582,3.554213255,3.061704124,0.769711004,4.293664135,2.094317073,0.390153238,6.434152206,2.539692061,0.88088567,3.73308304,7.698908077,1.397298395,-0.247782654
Burkina Faso,-0.819773185,3.961552917,3.056986091,1.484728815,0.09064859,3.739385397,-0.662826822,2.492349183,9.159800437,2.40550487,3.779618728,6.738004807,5.823999488,-2.129171178,-0.620386926
Bangladesh,3.44665935,3.261160132,3.892867435,5.815816648,4.56213638,4.586360705,5.875935815,6.471260103,7.860966092,6.764354686,7.144663025,7.859450855,8.164573678,7.174953427,5.668788528
Bulgaria,7.181202287,6.124344019,3.768886511,2.272325531,5.649571384,6.497564076,6.756898399,11.08352259,8.131471791,4.048805756,1.145840251,5.941996946,1.527228466,-0.668632343,0.460887325
Bahrain,29.99127655,-3.36382792,3.414349556,8.602580618,10.99108462,13.73496783,8.842436716,8.435632695,11.36509192,-12.99394121,7.441125966,9.736753496,3.014765852,0.384140011,-1.670883004
"Bahamas, The",0.921917928,0.353982112,3.960763092,1.154479107,1.194630016,5.056845759,0.827937103,2.947322454,1.488464357,-1.035990447,-0.392294309,-0.858815623,3.267480599,1.294892316,4.04290935
Bosnia and Herzegovina,28.78778446,2.963818047,4.459657972,0.912491306,8.442109766,-2.75755262,7.800126602,6.195571787,7.337370942,0.185463343,1.406297201,2.432526293,0.795774116,-0.224122764,1.000338327
Belarus,185.2907607,79.53457254,44.89373887,30.6853215,22.67512245,18.9721606,10.74861564,12.87270229,21.21353617,9.258661838,11.29047473,71.03882161,75.27736917,21.25729561,18.10515612
Belize,0.475942608,-0.306341287,1.731255361,-2.765720771,2.008197507,2.871068519,4.744442882,4.504303148,2.687312147,-2.729709739,1.496221541,4.072802525,1.791404475,2.379297174,1.470381922
Bermuda,-4.236356147,-1.369195741,8.580442291,2.824739521,4.692142598,6.762374738,19.57916181,6.574894832,5.108914102,1.04358317,2.236222003,-1.151255981,6.698203692,1.657273194,3.011890877
Bolivia,5.19540791,1.870092796,2.820758433,6.329991141,7.967709974,5.940795568,13.66367938,7.373355353,10.38118272,-2.419895917,8.777508989,14.60235424,7.100275501,5.995388369,2.049497726
Brazil,5.606065146,8.225094319,9.798112239,14.09102152,7.752060761,7.431225467,6.774274099,6.439038091,8.778552726,7.313482736,8.423338328,8.318565045,7.94317879,7.504539865,7.846709744
Barbados,-1.322839151,2.255389252,0.907856237,1.115872167,5.828144136,6.667724557,4.265719162,8.436091641,1.66215638,-1.684865074,3.81816146,3.511501278,-0.566836805,2.900726799,0.542156273
Brunei Darussalam,29.01570917,-5.59189805,0.374209529,6.104611064,15.88616466,18.76631914,10.04772148,1.120447694,12.69272996,-22.09141648,16.68828285,20.18050542,1.218702687,-2.82132117,-1.846457284
