Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,97.29125214,,,,,,,,,,96.82263947,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,31.44885063,,,
Africa Western and Central,,,,,,,,,,,,,,,
Angola,,67.4054184,,,,,,,,,,,,,66.03011322
Albania,,98.71298218,,,,,,,95.93863678,,,96.84529877,97.24697113,,
Andorra,,,,,,,,,,,,,,,
Arab World,63.68452835,64.8777771,66.04557037,68.68773651,69.63665771,69.21839905,68.13700867,68.62271881,69.62151337,68.30744934,69.24862671,71.06060791,74.43569183,74.0435791,75.71389008
United Arab Emirates,,,,,,90.03385162,,,,,,,,,
Argentina,,97.1933136,,,,,98.6108017,,,98.98342133,98.95497131,99.10832977,99.10523224,99.12194824,98.99388885
Armenia,,99.40016174,,,,,,,,,,99.74440765,,,
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,,98.94999695,,,,,,,,,,98.94999695,,,
Australia,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,99.59319305,,99.75984192,99.77114105,99.77863312,99.77577209,99.78936005,99.78898621
Burundi,59.30361938,,,,,,,,48.08406067,,,,,,61.51348877
Belgium,,,,,,,,,,,,,,,
Benin,,,34.65784836,,,,28.70211029,,,,,,32.94881821,,
Burkina Faso,,,,21.82291985,,23.52219963,22.47257996,28.29365921,,,,,,,34.59939957
Bangladesh,,47.48550034,,,,,,46.66360092,,,,58.7691803,57.86074829,61.01554108,61.09329987
Bulgaria,,98.20355988,,,,,,,,,,98.35244751,,,
Bahrain,,86.54873657,,,,,,,,,90.97740173,,,,
"Bahamas, The",,,,,,,,,,,,,,,
Bosnia and Herzegovina,96.6631012,,,,,,,,,,,98.14203644,,96.99176788,
Belarus,,,,,,,,,,99.6170578,,,,,
Belize,76.90297699,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,
Bolivia,,86.72367096,,,,,,90.74346924,90.69811249,91.16783142,,92.22615051,94.46057129,,
Brazil,86.36788177,,,,88.61624146,,89.61522675,90.0093689,90.03662109,90.29821014,90.37918091,91.41123962,91.33785248,91.48423767,91.72943115
Barbados,,,,,99.59999847,,,,,,,,,,99.59999847
Brunei Darussalam,,92.67112732,,,,,,,,,,96.08556366,,,
Bhutan,,,,,,52.81468964,,,,,,,55.31755829,,
Botswana,,,,81.18871307,,,,,,,,,,86.82318115,
Central African Republic,50.6451683,,,,,,,,,,36.75260925,,,,
Canada,,,,,,,,,,,,,,,
Central Europe and the Baltics,98.5088501,98.53581238,98.56584167,98.58244324,98.60523224,98.62796783,98.63562775,98.65406036,98.69184875,98.8988266,98.91722107,98.93424988,98.94538879,98.95433807,98.96629333
Switzerland,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,
Chile,,,95.7166214,,,,,,97.72245026,97.66423035,,96.70301056,,96.26705933,
China,90.92021179,,,,,,,,,,95.1244812,,,,
Cote d'Ivoire,48.7407608,,,,,,,,,,,,40.98162842,,43.90842056
Cameroon,68.4091568,,,,,,,70.67993927,,,71.29051208,,,,
"Congo, Dem. Rep.",,67.17298889,,,,,,61.20555115,,,,,75.01718903,,
"Congo, Rep.",,,,,,76.11479187,,,,,,79.31117249,,,
Colombia,,,,,92.8037796,92.84866333,92.29968262,92.6517868,93.37818146,93.24468994,93.37232971,93.58052826,,,94.18624878
Comoros,68.48922729,,,,,,,,,,,,49.19614029,,
