Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,97.07135773,,,,,,,,,,96.71977997,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,17.01783943,,,
Africa Western and Central,,,,,,,,,,,,,,,
Angola,,54.19448853,,,,,,,,,,,,,53.4072113
Albania,,98.25227356,,,,,,,94.68180847,,,95.69148254,96.13607025,,
Andorra,,,,,,,,,,,,,,,
Arab World,52.73535919,53.82067108,55.24858856,57.60602951,58.9168396,58.81216812,58.69216919,59.10821915,60.44631958,58.96981812,60.23765182,62.43844986,66.09427643,65.23873138,67.73674774
United Arab Emirates,,,,,,91.4747467,,,,,,,,,
Argentina,,97.19341278,,,,,98.51077271,,,99.00176239,98.92807007,98.99983978,99.0999527,99.09120941,98.93282318
Armenia,,99.16107178,,,,,,,,,,99.69035339,,,
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,,99.41999817,,,,,,,,,,99.41999817,,,
Australia,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,99.38394165,,99.68215179,99.69262695,99.70496368,99.70285797,99.71681976,99.7196579
Burundi,52.23775864,,,,,,,,43.15718842,,,,,,54.64165878
Belgium,,,,,,,,,,,,,,,
Benin,,,23.30014038,,,,18.44290924,,,,,,22.0938797,,
Burkina Faso,,,,15.18877029,,16.62224007,16.29113007,21.02721977,,,,,,,26.22024918
Bangladesh,,40.823349,,,,,,43.74084854,,,,55.11943817,54.23603821,57.78900146,57.8609314
Bulgaria,,97.70648956,,,,,,,,,,97.98390198,,,
Bahrain,,83.55741882,,,,,,,,,89.01043701,,,,
"Bahamas, The",,,,,,,,,,,,,,,
Bosnia and Herzegovina,94.35993958,,,,,,,,,,,96.80371094,,94.91049194,
Belarus,,,,,,,,,,99.49398804,,,,,
Belize,77.12272644,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,
Bolivia,,80.6543808,,,,,,85.98593903,86.83174896,86.82145691,,88.0802002,91.87326813,,
Brazil,86.50005341,,,,88.80612946,,89.85559082,90.22801208,90.21955109,90.41121674,90.68170166,91.63314819,91.62490082,91.76496124,92.06051636
Barbados,,,,,99.59999847,,,,,,,,,,99.59999847
Brunei Darussalam,,90.16155243,,,,,,,,,,94.65248108,,,
Bhutan,,,,,,38.68066025,,,,,,,45.20450974,,
Botswana,,,,81.80795288,,,,,,,,,,87.45121002,
Central African Republic,35.29090118,,,,,,,,,,24.35548973,,,,
Canada,,,,,,,,,,,,,,,
Central Europe and the Baltics,97.9484024,97.99530792,98.049263,98.08081818,98.12267303,98.16442871,98.18444061,98.21891022,98.27497101,98.54786682,98.57723236,98.60456848,98.62471008,98.64154053,98.66187286
Switzerland,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,
Chile,,,95.64093018,,,,,,97.7420578,97.40083313,,96.53070831,,96.16175079,
China,86.5266037,,,,,,,,,,92.71122742,,,,
Cote d'Ivoire,38.61450958,,,,,,,,,,,,30.46171951,,36.78424835
Cameroon,58.7217598,,,,,,,63.02206039,,,64.79949951,,,,
"Congo, Dem. Rep.",,54.06090164,,,,,,46.10425186,,,,,62.91864014,,
"Congo, Rep.",,,,,,67.4807663,,,,,,72.87705994,,,
Colombia,,,,,92.71463013,92.91124725,92.22059631,92.8456192,93.4353714,93.41513062,93.48679352,93.66712952,,,94.48465729
Comoros,63.45901871,,,,,,,,,,,,42.63729095,,
Cabo Verde,69.44455719,,,,,,,,,,,,80.49622345,,
Costa Rica,95.08078766,,,,,,,,,,,97.50041199,,,
Caribbean small states,90.1399765,90.41840363,90.68518829,90.94239044,91.19782257,91.46085358,91.63208771,92.30979156,92.55767059,92.76846313,92.99176788,93.14990997,93.03948975,92.81674957,92.95472717
Cuba,,,99.79091644,,,,,,,,,,99.79988098,,
Curacao,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,99.02147675,,,,,,,
Cyprus,,95.07965851,,,,,,,,,,98.1162262,,,
Czech Republic,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,
Dominican Republic,,,87.17709351,,,,,88.27716827,,,89.69730377,90.22557068,90.22416687,91.25051117,92.147789
Algeria,,,60.07508087,,,,63.91878891,,67.54875183,,,,,,
East Asia & Pacific (excluding high income),86.46486664,87.12976837,87.67263031,88.23439026,88.69573975,89.19326782,89.77970886,91.33383179,91.68749237,92.18656921,92.35001373,92.22599792,92.52805328,92.66499329,93.26824188
Early-demographic dividend,59.41080856,60.06455994,60.74306107,61.78868866,62.74015045,62.28862,63.28134155,63.9684906,65.16546631,66.32051086,68.29020691,68.56239319,69.18800354,69.82518768,70.95275879
East Asia & Pacific,86.32552338,86.96616364,87.50512695,88.07752228,88.53344727,89.04216766,89.6211319,91.0463028,91.43772125,91.93167877,92.02303314,91.84757996,92.16629791,92.30757141,92.9963913
Europe & Central Asia (excluding high income),95.27207184,95.38018036,95.50672913,95.61810303,95.84664917,96.10993958,96.05715179,96.21069336,96.25920105,97.09454346,97.54518127,97.9285202,98.13410187,98.21027374,98.25536346
Europe & Central Asia,95.1772995,95.31178284,95.50958252,95.63961029,95.80754852,95.8200531,95.99308777,96.04844666,96.25769043,96.57801819,96.81935883,97.25974274,97.40973663,97.50552368,97.57137299
Ecuador,,89.69709015,,,,,,90.86557007,91.12256622,90.91754913,90.47010803,90.22081757,90.95168304,92.21807861,93.25386047
"Egypt, Arab Rep.",,,,,,56.12155151,57.81190872,,,,63.51580811,,65.75666046,62.70521927,
Euro area,,,,,,,,,,,,,,,
Eritrea,,,40.22441864,,,,,,54.80107117,,,,,,
Spain,,,,,96.23088074,96.92514801,96.97483063,97.26032257,96.88684082,96.92597198,97.00450134,97.06556702,97.21804047,97.4405365,97.48735046
Estonia,99.76006317,,,,,,,,,,,99.90947723,,,
Ethiopia,,,,,22.79999924,17.97719955,,28.9216404,,,,,,,
European Union,,,,,,,,,,,,,,,
Fragile and conflict affected situations,51.24386978,52.10417175,52.59307861,53.09309006,53.89101028,54.30545044,56.99349976,51.84817886,52.19348907,51.45941925,52.01874924,51.82987976,53.77370071,54.18753052,55.37128067
Finland,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,79.87896729,,
United Kingdom,,,,,,,,,,,,,,,
Georgia,,,99.55284882,,,,,,,,,,,,99.51457977
Ghana,49.79196167,,,,,,,,,,65.29469299,,,,
Gibraltar,,,,,,,,,,,,,,,
Guinea,,,,18.23867989,,,,,,,12.19194984,,,,21.96224976
"Gambia, The",25.06155014,,,,,,,,,,,,,33.57535172,
Guinea-Bissau,27.49420929,,,,,,,,,,,,,,30.76851082
Equatorial Guinea,81.6230011,,,,,,,,,,90.6760788,,,,
Greece,,94.2394104,,,,90.76541138,,91.81246948,,91.84761047,,96.50211334,,,
Grenada,,,,,98.59999847,,,,,,,,,,98.59999847
Greenland,,,,,,,,,,,,,,,
