Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,97.53739929,,,,,,,,,,96.94052887,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,45.417099,,,
Africa Western and Central,,,,,,,,,,,,,,,
Angola,,82.91986847,,,,,,,,,,,,,79.97415161
Albania,,99.18760681,,,,,,,97.30619812,,,98.00816345,98.35260773,,
Andorra,,,,,,,,,,,,,,,
Arab World,74.31934357,75.50508881,76.34220886,79.28656769,79.82849121,78.92234802,76.96444702,77.55345154,78.09181976,76.95942688,77.51074982,78.91648102,82.10151672,82.0006485,83.10075378
United Arab Emirates,,,,,,89.48210144,,,,,,,,,
Argentina,,97.19319916,,,,,98.72718811,,,98.96272278,98.98532104,99.22830963,99.11112976,99.15602875,99.06124878
Armenia,,99.67223358,,,,,,,,,,99.80608368,,,
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,,98.40000153,,,,,,,,,,98.40000153,,,
Australia,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,99.82096863,,99.84266663,99.85443878,99.85665894,99.85285187,99.86592102,99.86200714
Burundi,67.30693054,,,,,,,,53.12839127,,,,,,69.58728027
Belgium,,,,,,,,,,,,,,,
Benin,,,47.86595917,,,,40.61616898,,,,,,44.96025848,,
Burkina Faso,,,,29.36199951,,31.37454987,29.71435928,36.57479858,,,,,,,44.37945175
Bangladesh,,53.89609146,,,,,,49.8323288,,,,62.48305893,61.54286957,64.21376801,64.36508942
Bulgaria,,98.73660278,,,,,,,,,,98.74723053,,,
Bahrain,,88.55410767,,,,,,,,,92.14543915,,,,
"Bahamas, The",,,,,,,,,,,,,,,
Bosnia and Herzegovina,99.03370667,,,,,,,,,,,99.54132843,,99.17627716,
Belarus,,,,,,,,,,99.76368713,,,,,
Belize,76.68373108,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,
Bolivia,,93.05747223,,,,,,96.03626251,94.95542908,95.80364227,,96.60105133,97.10704803,,
Brazil,86.22798157,,,,88.40946198,,89.35324097,89.7721405,89.83786774,90.17484283,90.05618286,91.16898346,91.02567291,91.17796326,91.36676788
Barbados,,,,,99.59999847,,,,,,,,,,99.59999847
Brunei Darussalam,,95.15042114,,,,,,,,,,97.42816162,,,
Bhutan,,,,,,65.0477829,,,,,,,66.00305939,,
Botswana,,,,80.43010712,,,,,,,,,,86.12213898,
Central African Republic,66.78952789,,,,,,,,,,50.71271133,,,,
Canada,,,,,,,,,,,,,,,
Central Europe and the Baltics,99.12187958,99.12758636,99.13191986,99.13083649,99.13134003,99.13349152,99.12782288,99.1289978,99.14792633,99.28217316,99.28884125,99.29447937,99.29646301,99.29695129,99.29988861
Switzerland,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,
Chile,,,95.79640961,,,,,,97.70249939,97.88935852,,96.89878082,,96.38800812,
China,95.13524628,,,,,,,,,,97.47946167,,,,
Cote d'Ivoire,60.86066055,,,,,,,,,,,,51.59267044,,50.70190048
Cameroon,79.19451904,,,,,,,78.9499588,,,78.32769012,,,,
"Congo, Dem. Rep.",,80.92324066,,,,,,76.91568756,,,,,87.90838623,,
"Congo, Rep.",,,,,,86.04982758,,,,,,86.43431091,,,
Colombia,,,,,92.9041214,92.77794647,92.39279938,92.42970276,93.31687927,93.06253815,93.25019073,93.48825836,,,93.86740112
Comoros,74.51403809,,,,,,,,,,,,56.47980118,,
Cabo Verde,83.83760834,,,,,,,,,,,,90.47450256,,
Costa Rica,94.650177,,,,,,,,,,,97.30632782,,,
Caribbean small states,85.64267731,85.96562958,86.26772308,86.55734253,86.84911346,87.19525909,87.41068268,87.93134308,88.21115875,88.42651367,88.72216034,88.97094727,89.13939667,89.50949097,89.73384857
Cuba,,,99.80731201,,,,,,,,,,99.70606232,,
Curacao,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,98.72238922,,,,,,,
Cyprus,,98.63104248,,,,,,,,,,99.28614807,,,
Czech Republic,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,
Dominican Republic,,,86.8110199,,,,,88.21015167,,,89.37703705,89.98500824,90.08482361,90.45812988,91.37159729
Algeria,,,79.18669128,,,,81.28404236,,82.6158371,,,,,,
East Asia & Pacific (excluding high income),94.56716156,94.81281281,95.02967072,95.21478271,95.43454742,95.66898346,95.92790985,96.54077911,96.6733017,96.82634735,96.84487915,96.64958191,96.78943634,96.85598755,97.09049988
Early-demographic dividend,76.89026642,77.12158203,77.79831696,78.81938171,79.45902252,79.48217773,79.55316162,79.95620728,81.14232635,81.78244019,82.09655762,81.96115875,82.49481964,82.85497284,83.37991333
East Asia & Pacific,94.24777985,94.46381378,94.69509125,94.90882111,95.1638031,95.41105652,95.67494965,96.23483276,96.38620758,96.54425049,96.49983978,96.27581024,96.42973328,96.50325775,96.81269836
Europe & Central Asia (excluding high income),98.67861938,98.72525787,98.76525879,98.79654694,98.8572464,99.00904083,98.98770142,99.02287292,99.02854156,99.12098694,99.28455353,99.40028381,99.4553299,99.47310638,99.49133301
Europe & Central Asia,97.78117371,97.84101105,97.99294281,98.04695892,98.10955048,98.10736847,98.23796082,98.20297241,98.33145142,98.32095337,98.40117645,98.5786438,98.63388824,98.67687988,98.70462036
Ecuador,,92.32713318,,,,,,93.3891983,93.74945068,93.66378021,93.31687164,93.05252075,93.25424194,94.42572784,95.25717163
"Egypt, Arab Rep.",,,,,,77.91013336,74.62180328,,,,80.26864624,,81.67922211,81.69406128,
Euro area,,,,,,,,,,,,,,,
Eritrea,,,65.39012146,,,,,,75.07241058,,,,,,
Spain,,,,,98.14391327,98.61746979,98.56102753,98.633461,98.40229797,98.46193695,98.52571106,98.53618622,98.60652924,98.74874878,98.73126984
Estonia,99.77594757,,,,,,,,,,,99.85897827,,,
Ethiopia,,,,,50,41.9366188,,49.13465881,,,,,,,
European Union,,,,,,,,,,,,,,,
