Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,,,,,,,,,,,,,,,
Africa Eastern and Southern,31.09990473,30.35933791,30.66962038,30.88435349,30.41548593,29.98140548,29.89302472,28.78201856,28.39862192,28.56579298,28.4201736,28.22562955,28.31742167,27.8746644,28.24941423
Afghanistan,14.7,15.1,14.9,15,15.2,15.2,15.1,15,15,14.4,14.4,14.2,13.8,14,14.1
Africa Western and Central,28.19554961,28.32601719,28.42959849,27.93239068,27.51139791,27.22114732,26.8119796,26.49704997,26.14925215,26.25458951,26.22833381,24.99945475,24.44453839,24.42064589,24.43532767
Angola,25.1,25.2,25.4,25.3,25.9,26.1,24.6,25.5,25,27.3,25.8,25.4,23.2,22.4,23.2
Albania,14.3,14.5,14.5,14.7,14.7,14.9,14.9,14.8,14.5,14.4,14.1,14.3,13.8,13.9,13.6
Andorra,,,,,,,,,,,,,,7.6,
Arab World,19.67207184,19.47745513,19.77198607,20.25717272,20.147049,20.20724331,20.17592559,20.68238416,20.90430602,20.67518508,20.73332914,20.21221347,19.38833719,19.22655532,20.10398823
United Arab Emirates,16,15.8,22.4,24.2,20.9,18.7,17.2,17.7,18,19,19.4,19.1,17.9,17.6,17.8
Argentina,11.5,11.6,9.8,9.4,10.6,11.6,13.1,14.1,14.8,13.3,12.8,13.9,13.1,14.3,13.4
Armenia,19.6,19.5,19.1,18.5,18.5,18.3,17.8,17.6,17.3,17.9,18,17.7,17,16.8,16.7
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,9.2,13,2.6,10.1,2.5,0,2.4,7.2,11.2,6.3,5.4,8.8,0.7,1.7,0.6
Australia,9.9,9.3,9.1,8.5,8.2,8.3,8,7.9,7.1,7.1,6.5,5.9,5.8,5.3,5.4
Austria,12.5,12.2,12.1,11.7,11,9.6,9.1,8.6,8.4,7.8,6.8,6.4,6.4,5.5,5.1
Azerbaijan,8.2,10,10.1,14.5,10.7,13.9,13.2,13.7,13.3,11.6,11.4,12.4,14,13.8,13.2
Burundi,30.3,30.2,29.3,29.8,29.7,29.9,33.1,33.4,33,33,33.2,33,33.8,33.8,33.6
Belgium,16.7,15.8,13.9,12,11.4,10.9,10.5,10.8,9.4,9.4,8.1,8.2,7.2,7,6.7
Benin,28.4,28.5,28.7,28.2,28,28.9,28.1,27.6,27.6,27.9,28.2,28.1,27.4,27,27
Burkina Faso,27.6,27.7,28,28.4,29.1,29.2,29.4,29.6,29.7,29.4,30.2,30,29.6,29.8,30.2
Bangladesh,10.8,12,13.5,14.9,16.4,17.6,17.6,16.9,16.9,16.9,16.9,16.8,15.9,15.9,15.9
Bulgaria,13,13.2,12.6,12.7,12.5,12.8,14.1,14.3,14.5,12.4,10.8,9.2,8.5,8.5,9.4
Bahrain,12,17.3,18.9,16.1,15.7,15.6,21.8,15.8,13.5,13.5,10.8,9.7,9.5,9.7,7.3
"Bahamas, The",25.6,20.9,17.7,13.1,16,20.9,14.8,15.7,14.5,16.3,12.7,13.1,13,14.1,8.1
Bosnia and Herzegovina,19,18.9,18.5,18.4,18.1,17.8,17.6,17.5,17.1,17.1,16.9,14.9,15.6,15.4,15.5
Belarus,17.8,17.7,26.1,26.7,23,22.1,22.1,23.5,23.9,19.5,21.9,18.6,15.8,13.6,11.5
Belize,29.5,37.5,36.1,31.5,23.5,35.9,28.8,32.4,33.8,16.8,14,18.2,21.3,21.7,24.3
Bermuda,,,,,,,,,,,,,,,
Bolivia,14.5,14.8,15.2,15.1,15.1,15.2,20.9,15,17.2,16.6,17.3,17.5,23,23.5,19.9
Brazil,19.7,20.1,21.2,21,22.2,22.4,21.8,22.5,22.6,22.2,24.3,24.5,24.8,23.1,23.6
