Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,53.283,53.661,54.028,54.394,54.76,55.125,55.489,55.853,56.217,56.579,56.941,57.06,57.043,57.01,56.959
Africa Eastern and Southern,71.33071355,71.02292602,70.69580128,70.36872746,70.03817577,69.69029533,69.35375675,69.08590622,68.66867894,68.2435286,67.8065902,67.35845189,66.92831284,66.49245203,66.04757564
Afghanistan,77.922,77.831,77.739,77.647,77.5,77.297,77.093,76.887,76.68,76.472,76.263,76.052,75.84,75.627,75.413
Africa Western and Central,64.64701867,64.04675184,63.44202338,62.82556367,62.20018122,61.56860773,60.92920953,60.2911753,59.65403998,59.01568327,58.37412055,57.73533661,57.09896457,56.46929568,55.84286904
Angola,49.913,48.726,47.539,46.355,45.173,44,43.236,42.476,41.718,40.966,40.217,39.472,38.732,37.998,37.269
Albania,58.259,57.565,56.499,55.427,54.349,53.269,52.185,51.098,50.009,48.924,47.837,46.753,45.67,44.613,43.577
Andorra,7.605,7.944,8.359,8.793,9.249,9.715,10.193,10.692,10.996,11.088,11.181,11.274,11.369,11.463,11.559
Arab World,47.01069831,46.74855584,46.48437431,46.19883276,45.89441768,45.52969369,45.13426379,44.85092026,44.42092565,43.9902312,43.55911948,43.20810427,42.90160373,42.59926595,42.30767453
United Arab Emirates,19.764,19.345,18.933,18.528,18.129,17.738,17.352,16.977,16.613,16.258,15.913,15.577,15.251,14.934,14.625
Argentina,10.858,10.671,10.49,10.314,10.14,9.969,9.8,9.634,9.47,9.309,9.151,9.01,8.879,8.751,8.623
Armenia,35.334,35.615,35.764,35.863,35.962,36.062,36.161,36.261,36.36,36.46,36.56,36.66,36.76,36.836,36.888
American Samoa,11.413,11.509,11.606,11.703,11.802,11.9,12,12.1,12.201,12.303,12.406,12.498,12.58,12.652,12.712
Antigua and Barbuda,67.873,68.26,68.902,69.536,70.163,70.782,71.394,71.998,72.595,73.182,73.762,74.297,74.474,74.65,74.825
Australia,15.765,15.9,15.778,15.657,15.537,15.418,15.3,15.178,15.057,14.937,14.818,14.7,14.598,14.498,14.398
Austria,39.787,40.066,40.345,40.625,40.906,41.187,41.468,41.751,42.034,42.317,42.601,42.885,42.853,42.664,42.474
Azerbaijan,48.614,48.413,48.213,48.012,47.811,47.611,47.411,47.21,47.01,46.81,46.594,46.363,46.117,45.855,45.578
Burundi,91.754,91.539,91.318,91.092,90.861,90.625,90.383,90.136,89.882,89.624,89.358,89.085,88.806,88.518,88.224
Belgium,2.871,2.814,2.759,2.704,2.65,2.597,2.546,2.495,2.445,2.397,2.349,2.302,2.256,2.211,2.167
Benin,61.667,61.35,60.964,60.464,59.961,59.457,58.951,58.442,57.931,57.42,56.907,56.392,55.875,55.358,54.834
Burkina Faso,82.156,81.46,80.742,80.004,79.243,78.463,77.661,77.004,76.466,75.921,75.367,74.804,74.233,73.654,73.066
Bangladesh,76.41,75.904,75.244,74.571,73.886,73.191,72.483,71.763,71.032,70.291,69.538,68.775,68.007,67.238,66.465
Bulgaria,31.101,30.834,30.476,30.121,29.767,29.416,29.068,28.722,28.378,28.037,27.698,27.362,27.025,26.687,26.349
Bahrain,11.628,11.631,11.627,11.617,11.601,11.578,11.548,11.512,11.47,11.421,11.366,11.305,11.238,11.165,11.085
"Bahamas, The",17.993,17.951,17.908,17.866,17.824,17.782,17.74,17.698,17.657,17.615,17.573,17.524,17.468,17.404,17.332
Bosnia and Herzegovina,57.616,57.302,56.986,56.67,56.352,56.035,55.718,55.399,55.08,54.761,54.442,54.122,53.801,53.481,53.16
Belarus,30.027,29.542,29.061,28.585,28.113,27.646,27.184,26.727,26.274,25.828,25.328,24.812,24.303,23.801,23.307
Belize,54.602,54.619,54.636,54.653,54.67,54.687,54.704,54.721,54.738,54.755,54.772,54.772,54.754,54.718,54.665
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,38.213,37.694,37.217,36.752,36.289,35.83,35.372,34.918,34.465,34.016,33.57,33.126,32.685,32.301,31.953
Brazil,18.808,18.447,18.12,17.797,17.479,17.166,16.857,16.552,16.251,15.956,15.665,15.369,15.077,14.791,14.508
