Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,0.992659986,0.999490023,0.989000022,0.97706002,0.952910006,0.963389993,0.967980027,0.98676002,1.005609989,1.00443995,1.014600039,1.008710027,1.021559954,,
Africa Eastern and Southern,,,,,,,,,,,,,,,
Afghanistan,,0,,0.544260025,0.405820012,0.547689974,0.573230028,0.567200005,0.586019993,0.609610021,0.625810027,0.663450003,0.669250011,0.655330002,0.654020011
Africa Western and Central,,,,,,,,,,,,,,,
Angola,,,,,,,,,0.833090007,0.823400021,0.777629972,0.630320013,,,
Albania,0.976209998,0.987320006,,,0.980199993,0.97803998,0.985040009,0.996869981,0.999790013,1.017809987,1.005689979,1.000290036,0.990100026,0.981589973,0.976679981
Andorra,,,,,,,,,,,,,,,
Arab World,0.87729001,0.886300027,0.895259976,0.903349996,0.906939983,0.913670003,0.917309999,0.920419991,0.923160017,0.924130023,0.926810026,0.92651999,0.933889985,0.93581003,0.940289974
United Arab Emirates,,,,,,,,,,,,,,,
Argentina,1.015869975,1.01778996,1.018100023,1.022079945,1.02778995,1.032999992,1.040220022,1.046380043,1.050009966,1.047539949,1.035979986,1.040199995,1.034610033,1.03136003,1.031229973
Armenia,1.071140051,,,,,,,1.006010056,0.995670021,0.989899993,0.995220006,1.007719994,,1.02907002,1.040339947
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,0.983640015,0.965020001,0.990239978,0.971769989,0.964439988,1.039039969,,0.974340022
Australia,,,,,,,,,,,,,,,
Austria,0.969690025,0.969579995,0.964429975,0.963419974,0.963039994,0.966250002,0.969860017,0.968810022,0.965600014,0.965240002,0.968720019,0.970080018,0.971570015,0.972970009,0.97232002
Azerbaijan,,,,,,,,,,,,,,,
Burundi,,,,0.797299981,0.818379998,0.837559998,0.884220004,0.898490012,,0.926129997,0.938820004,0.954140007,0.96371001,0.972280025,0.992950022
Belgium,1.057279944,1.063420057,1.068310022,1.057520032,1.056550026,1.069919944,1.074749947,1.079810023,1.087859988,1.089609981,1.083389997,1.081900001,1.082520008,1.082190037,1.079849958
Benin,0.633329988,0.646290004,0.661450028,0.673150003,0.694509983,,,,,,,0.809689999,,0.834890008,0.847899973
Burkina Faso,0.700230002,0.712759972,,0.737219989,0.766600013,0.782329977,0.799489975,0.817929983,0.839980006,0.856069982,0.877110004,0.893410027,0.914619982,0.936890006,0.948300004
