Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,,,,,,,,,,,,,,,
Africa Eastern and Southern,948360,991070,1040470,1083510,1126950,1154760,1159200,1227540,1288080,1276100,1335490,1342560,1381860,1406900,1436410
Afghanistan,15080,13490,16090,16780,16520,17400,21040,24880,31540,36960,44910,58650,66750,74800,84620
Africa Western and Central,553740,561370,575870,602120,612550,650720,651900,655600,666010,652550,690440,723970,740720,771100,790820
Angola,49590,51730,55610,65370,67740,67230,68080,74850,76080,79690,84120,86040,84930,88410,88980
Albania,8220,8190,8820,9250,9310,9100,9000,9050,8790,8850,9130,9630,9240,9440,9930
Andorra,590,590,600,610,640,660,640,640,640,620,630,600,600,590,580
Arab World,1380740,1441760,1498360,1535670,1609430,1721520,1790690,1862570,1974290,2055310,2143440,2174340,2285760,2318020,2395260
United Arab Emirates,113340,127370,131600,139310,148020,156700,162950,174270,199890,202080,208580,214630,226570,237630,240020
Argentina,284590,277330,274150,295740,310990,315570,330120,343550,347610,328570,334590,344800,348940,358180,356100
Armenia,6020,6140,5810,6230,6620,7350,7770,8440,8990,7900,7750,8380,9360,9300,9260
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,610,650,710,750,760,790,860,920,970,1930,1040,1070,1290,1060,1070
Australia,608210,634100,627080,546710,605380,568380,611700,614990,587260,601070,571220,673130,670930,581890,593500
Austria,78240,82550,83860,88940,89750,89790,87470,84390,83950,77000,82720,80790,77570,78120,74350
Azerbaijan,60260,60620,61530,59240,60530,64520,67560,66220,73800,74710,78990,82310,83480,83030,83210
Burundi,3050,3000,2960,2920,2950,2980,3130,3200,3330,3490,3810,4010,4070,4430,4370
Belgium,138310,138690,131410,134790,133360,129500,126520,121860,124200,117130,124460,112180,111590,112860,106460
Benin,7790,7320,8240,8250,8360,9430,10270,11140,10960,11640,12270,12480,12500,13200,13790
Burkina Faso,16620,15810,16550,20030,20630,21300,21350,22100,22940,23640,24810,25250,25970,26990,27490
Bangladesh,112250,116870,120430,122030,123760,128390,133590,136520,144740,148380,155970,161700,165250,168630,173510
